                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91645,                0.89551,                 1.1859,                0.67364,                0.59668,                0.66324,                0.46913,                0.98906,                0.97759,                 1.2701,               0.006634,               0.006634,               0.006634
                     36,                0.92234,                0.89509,                 1.1984,                0.64487,                0.72059,                0.67063,                0.45336,                 1.0209,                0.94563,                 1.3314,               0.006535,               0.006535,               0.006535
                     37,                0.90748,                0.86503,                 1.1774,                0.63591,                 0.7247,                0.65856,                0.45858,                0.99431,                0.97215,                 1.2867,               0.006436,               0.006436,               0.006436
                     38,                0.90397,                0.85305,                  1.179,                0.75103,                0.67113,                0.72377,                0.51701,                0.96887,                0.94573,                 1.2601,               0.006337,               0.006337,               0.006337
                     39,                0.90225,                0.86369,                 1.1809,                0.64142,                0.72325,                0.65874,                0.45539,                 1.0063,                0.90755,                 1.2861,               0.006238,               0.006238,               0.006238
                     40,                0.89849,                0.84058,                 1.1735,                0.80466,                0.66197,                0.69499,                0.47728,                 1.0095,                 0.9881,                 1.3055,               0.006139,               0.006139,               0.006139
                     41,                0.89638,                 0.8513,                 1.1671,                 0.7162,                0.62922,                0.67592,                0.47599,                 0.9694,                0.92675,                 1.2826,                0.00604,                0.00604,                0.00604
                     42,                0.89501,                0.82126,                 1.1715,                 0.6334,                0.70134,                 0.6609,                0.45956,                 0.9904,                0.96655,                 1.2958,               0.005941,               0.005941,               0.005941
                     43,                0.89642,                0.82618,                 1.1766,                0.64064,                 0.7012,                0.66416,                0.47415,                0.96287,                0.91847,                  1.253,               0.005842,               0.005842,               0.005842
                     44,                0.87073,                0.80222,                 1.1591,                0.75197,                0.67859,                0.74096,                0.51004,                0.94931,                0.90433,                 1.2502,               0.005743,               0.005743,               0.005743
                     45,                0.86556,                0.81836,                 1.1538,                0.66377,                 0.6577,                0.63956,                0.44071,                0.98805,                0.96632,                 1.2951,               0.005644,               0.005644,               0.005644
                     46,                0.87046,                0.82463,                 1.1629,                0.64738,                0.66316,                0.65146,                0.46817,                0.95399,                0.91051,                  1.254,               0.005545,               0.005545,               0.005545
                     47,                0.84324,                0.77959,                   1.15,                0.61875,                0.64484,                0.63856,                0.44498,                0.97714,                0.94446,                 1.2892,               0.005446,               0.005446,               0.005446
                     48,                0.84434,                0.78073,                  1.138,                0.75847,                0.69233,                0.71972,                0.50367,                 0.9559,                0.83499,                 1.2624,               0.005347,               0.005347,               0.005347
                     49,                 0.8528,                0.76717,                 1.1361,                0.66119,                0.68536,                0.67994,                0.47908,                0.97581,                0.91375,                 1.2761,               0.005248,               0.005248,               0.005248
                     50,                0.85518,                0.78163,                  1.158,                0.83028,                0.62444,                0.71738,                0.50852,                0.96129,                0.86929,                 1.2586,               0.005149,               0.005149,               0.005149
                     51,                0.83686,                0.75495,                 1.1405,                0.79963,                0.70665,                0.74455,                0.51562,                 0.9567,                 0.8528,                 1.2607,                0.00505,                0.00505,                0.00505
                     52,                0.83011,                0.73949,                 1.1309,                0.61825,                 0.8329,                0.73477,                0.51396,                0.92224,                0.81163,                 1.2234,               0.004951,               0.004951,               0.004951
